1656688|Partner|42501|MTC|85|0|0|1681998|42501
1398687|012|42504|SMS-MT|0|0|0|1966183|42500
1952023|Partner|42501|MTC|347|0|0|1486856|42502
1070110|Cellcom|42500|MTC|322|0|0|1566139|42503
1280634|Jio|42502|SMS-MT|0|0|0|1448567|42500
1084009|Airtel|42503|SMS-MT|0|0|0|1248991|42501
1964107|Airtel|42503|SMS-MO|0|0|0|1845159|42504
1625253|Partner|42501|MTC|195|0|0|1185257|42502
1169862|012|42504|SMS-MT|0|0|0|1119658|42500
1277413|Partner|42501|GPRS|0|0|258||42501
1522840|Jio|42502|MOC|312|0|0|1697783|42501
